Year,Month,Day,Location Name,Country,Event Validity,Cause Code,Latitude,Longitude,Maximum Water Height,Number Of Runups
2020,5,29,LESSER SUNDA: BALI: IJEN VOLCANO,INDONESIA,2,4,-8.058,114.242,3.0,1
2020,6,23,OFF COAST OF OAXACA,MEXICO,4,1,16.029,-95.901,1.57,9
2020,10,30,AEGEAN SEA,TURKEY,4,1,37.918,26.79,5.3,268
2021,3,4,S OF RAOUL ISLAND,NEW ZEALAND,4,1,-1.0,-29.74,-177.267,1
2022,1,15,TONGA ISLANDS,TONGA,4,6,-20.536,-175.382,22.0,783
2022,9,19,MEXICO,MEXICO,4,1,18.367,-103.252,0.79,14
2022,11,30,LAKE TAUPO,NEW ZEALAND,4,1,-1.0,-38.808,175.906,1
2023,9,16,DICKSON FJORD,GREENLAND,4,8,-1.0,72.81,-26.95,200
2024,1,1,HONSHU: W COAST,JAPAN,4,3,37.487,137.271,7.23,396
2024,4,2,E. TAIWAN-RYUKYU ISLANDS,TAIWAN,4,1,23.819,121.562,1.0,12
2024,8,7,PEDERSEN LAGOON,USA,4,8,-1.0,59.904,-149.825,17
2025,2,-1,DALK GLACIER,ANTARCTICA,3,8,-69.417,76.45,1.0,1
