Year,Month,Day,Name,Location,Country,Vei
2020,1,12,Taal,Luzon-Philippines,Philippines,4
2021,3,5,Sangay,Ecuador,Ecuador,2
2021,3,-1,Pacaya,Guatemala,Guatemala,1
2021,4,9,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,4
2021,5,19,Stromboli,Italy,Italy,2
2021,5,22,Nyiragongo,Africa-C,Congo,-1
2021,9,19,La Palma,Canary Is,Spain,3
2021,12,4,Semeru,Java,Indonesia,4
2022,1,15,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,5
2022,6,22,Popocatepetl,Mexico,Mexico,2
2022,10,9,Stromboli,Italy,Italy,2
2022,12,4,Stromboli,Italy,Italy,2
2022,12,4,Semeru,Java,Indonesia,4
2023,7,7,Bagana,Bougainville-SW Paci,Papua New Guinea,2
2024,5,11,Marapi,Sumatra,Indonesia,2
2024,6,3,Kanlaon,Philippines-C,Philippines,3
2024,8,17,Sheveluch,Kamchatka,Russia,4
